,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),uid,month
7,5.0,3.4,1.5,0.2,7,Jan
38,4.4,3.0,1.3,0.2,38,Jan
91,6.1,3.0,4.6,1.4,91,Febb
63,6.1,2.9,4.7,1.4,63,Jan
132,6.4,2.8,5.6,2.2,132,Febb
123,6.3,2.7,4.9,1.8,123,Febb
94,5.6,2.7,4.2,1.3,94,Febb
146,6.3,2.5,5.0,1.9,146,Febb
40,5.0,3.5,1.3,0.3,40,Jan
26,5.0,3.4,1.6,0.4,26,Jan
17,5.1,3.5,1.4,0.3,17,Jan
105,7.6,3.0,6.6,2.1,105,Febb
28,5.2,3.4,1.4,0.2,28,Jan
113,5.7,2.5,5.0,2.0,113,Febb
139,6.9,3.1,5.4,2.1,139,Febb
86,6.7,3.1,4.7,1.5,86,Febb
136,6.3,3.4,5.6,2.4,136,Febb
121,5.6,2.8,4.9,2.0,121,Febb
